timestamp,frame_number,status,method,contour_count,person_count
2026-07-09 09:59:30.461,876,MOTION DETECTED,Background Subtraction (KNN),24,24
2026-07-09 09:59:30.488,877,MOTION DETECTED,Background Subtraction (KNN),22,22
2026-07-09 09:59:30.550,878,MOTION DETECTED,Background Subtraction (KNN),20,20
2026-07-09 09:59:30.582,879,MOTION DETECTED,Background Subtraction (KNN),20,20
2026-07-09 09:59:30.612,880,MOTION DETECTED,Background Subtraction (KNN),19,19
2026-07-09 09:59:30.645,881,MOTION DETECTED,Background Subtraction (KNN),21,21
2026-07-09 09:59:30.710,882,MOTION DETECTED,Background Subtraction (KNN),22,22
2026-07-09 09:59:30.744,883,MOTION DETECTED,Background Subtraction (KNN),21,21
2026-07-09 09:59:30.775,884,MOTION DETECTED,Background Subtraction (KNN),25,25
2026-07-09 09:59:30.809,885,MOTION DETECTED,Background Subtraction (KNN),20,20
2026-07-09 09:59:30.874,886,MOTION DETECTED,Background Subtraction (KNN),19,19
2026-07-09 09:59:30.909,887,MOTION DETECTED,Background Subtraction (KNN),19,19
2026-07-09 09:59:30.942,888,MOTION DETECTED,Background Subtraction (KNN),16,16
2026-07-09 09:59:30.991,889,MOTION DETECTED,Background Subtraction (KNN),17,17
2026-07-09 09:59:31.044,890,MOTION DETECTED,Background Subtraction (KNN),19,19
2026-07-09 09:59:31.081,891,MOTION DETECTED,Background Subtraction (KNN),17,17
2026-07-09 09:59:31.115,892,MOTION DETECTED,Background Subtraction (KNN),19,19
2026-07-09 09:59:31.147,893,MOTION DETECTED,Background Subtraction (KNN),20,20
2026-07-09 09:59:31.182,894,MOTION DETECTED,Background Subtraction (KNN),21,21
2026-07-09 09:59:31.215,895,MOTION DETECTED,Background Subtraction (KNN),19,19
2026-07-09 09:59:31.257,896,MOTION DETECTED,Background Subtraction (KNN),16,16
2026-07-09 09:59:31.292,897,MOTION DETECTED,Background Subtraction (KNN),16,16
